Filename,Material,Thickness,Energy,Displacements,Energydeposit
cdteneutron-1000-680-96,cdteneutron,1000,680,6672.939492397799,33331.6189559074
cdte-1600-380-96,cdte,1600,380,33242.90017055867,1230204.2057765988
cdteneutron-1400-230-96,cdteneutron,1400,230,7231.958954843127,8593.643149943126
si-320-980-96,si,320,980,1964016.1043982517,1958878.1590675297
cdteneutron-2000-630-96,cdteneutron,2000,630,9214.951113004634,36864.87077898764
cdte-1600-430-96,cdte,1600,430,34464.58227055867,1213592.1845067486
cdte-1600-980-96,cdte,1600,980,2237173.0808705585,944104.9325027666
cdte-1200-30-96,cdte,1200,30,2425.7103886197597,69047.0103886198
cdte-1200-1280-96,cdte,1200,1280,1536449.8958686197,1005744.6996740064
cdteneutron-1100-680-96,cdteneutron,1100,680,6802.260360760621,37730.555544860625
cdte-1500-1130-96,cdte,1500,1130,2216712.361062195,944063.4129876675
cdte-1700-530-96,cdte,1700,530,31299.797278925733,1130010.3131953056
cdteneutron-1100-1180-96,cdteneutron,1100,1180,6939.155160760622,38051.607761257124
cdte-1700-280-96,cdte,1700,280,23496.78287892573,1234789.4492267256
cdte-2000-980-96,cdte,2000,980,2124563.0648030047,917928.6323241856
si-378-1130-96,si,378,1130,1842604.324049729,1819644.0009215255
cdte-1100-730-96,cdte,1100,730,28374.37863076062,1064818.540269343
si-552-1130-96,si,552,1130,1693671.2109546654,1652648.4000331429
cdte-1800-380-96,cdte,1800,380,30889.28958627769,1227698.9204231077
cdteneutron-1900-1130-96,cdteneutron,1900,1130,8971.547014641554,56446.08473591986
cdteneutron-1800-280-96,cdteneutron,1800,280,11271.59709627769,18301.626152738685
cdteneutron-1500-680-96,cdteneutron,1500,680,7726.9495021955645,41898.05230365227
cdte-2000-830-96,cdte,2000,830,209754.71900300466,944998.9391327144
cdteneutron-1500-280-96,cdteneutron,1500,280,10530.594162195566,19161.68908681937
cdteneutron-1300-280-96,cdteneutron,1300,280,10037.57240647902,14903.994620701918
cdteneutron-1600-1080-96,cdteneutron,1600,1080,7870.86793055867,44611.06277094896
si-320-80-96,si,320,80,648.0663982516053,10722.849516751607
cdteneutron-1500-880-96,cdteneutron,1500,880,7739.201722195565,48918.43961279378
cdteneutron-1600-580-96,cdteneutron,1600,580,8187.155320558669,38502.64536107867
cdteneutron-1600-480-96,cdteneutron,1600,480,13846.665280558667,51885.87294177316
cdteneutron-1500-1330-96,cdteneutron,1500,1330,7725.796002195566,42164.985176882765
cdteneutron-1400-780-96,cdteneutron,1400,780,7471.477474843127,48751.197593710116
si-378-130-96,si,378,130,765.2292497288383,1318511.441212677
si-320-1030-96,si,320,1030,1896879.7442982518,1890527.1345174392
cdteneutron-1000-480-96,cdteneutron,1000,480,12380.2513223978,27598.0548173778
si-842-130-96,si,842,130,1702.5324378087923,1745052.8118513152
cdteneutron-2000-930-96,cdteneutron,2000,930,9426.403753004633,55968.03916912184
cdteneutron-1400-1280-96,cdteneutron,1400,1280,7479.657114843127,37807.50005426863
si-784-1330-96,si,784,1330,1515927.8989110787,1537909.7859980022
si-842-1230-96,si,842,1230,1459105.4539378088,1452676.3966015829
cdteneutron-1600-1030-96,cdteneutron,1600,1030,8261.133390558669,52743.19548861927
si-378-730-96,si,378,730,2011930.8784497287,1869198.0301028874
si-378-530-96,si,378,530,1828415.7495497286,1897851.0357869223
cdte-1400-730-96,cdte,1400,730,29379.514454843124,1025157.8441587831
cdteneutron-2000-730-96,cdteneutron,2000,730,9478.635283004636,51832.84288779363
si-436-980-96,si,436,980,1877522.396076459,1797929.7486639437
si-668-1180-96,si,668,1180,1608010.916108125,1566662.266568234
cdteneutron-1800-1330-96,cdteneutron,1800,1330,9010.205346277688,43731.33123098619
si-378-930-96,si,378,930,1923861.5385497287,1846270.2832496793
cdte-1500-380-96,cdte,1500,380,31339.176062195565,1231434.3566346657
si-668-880-96,si,668,880,1714100.693808125,1542961.9911652866
cdte-2000-730-96,cdte,2000,730,30511.944503004634,981212.1245242547
si-494-80-96,si,494,80,999.5551031882958,12716.595848388299
cdteneutron-1000-380-96,cdteneutron,1000,380,7474.7710523977985,35882.29553792936
cdteneutron-1300-880-96,cdteneutron,1300,880,7178.743086479017,43259.66453200572
si-784-530-96,si,784,530,2203239.4789110785,1496235.2625084063
cdte-1800-730-96,cdte,1800,730,30666.866786277693,995063.8912618307
si-552-880-96,si,552,880,1790427.2910546656,1647517.2462216117
cdteneutron-1700-780-96,cdteneutron,1700,780,8426.648745925733,48282.991416336736
cdte-1000-1280-96,cdte,1000,1280,1614025.3550223976,1061470.64514967
cdteneutron-1500-80-96,cdteneutron,1500,80,12776.573012195564,14684.548454895965
cdte-1800-1130-96,cdte,1800,1130,2091480.8871862774,908862.9765738738
cdte-1300-80-96,cdte,1300,80,2627.7153464790176,880206.102523499
cdte-1900-1330-96,cdte,1900,1330,1142150.7132746414,894940.2908885822
si-610-780-96,si,610,780,1758559.4696813957,1586542.7295038928
cdteneutron-1600-630-96,cdteneutron,1600,630,8320.14022055867,28218.736825190666
si-436-730-96,si,436,730,1958478.637076459,1786302.7116797327
cdte-1100-880-96,cdte,1100,880,1893970.2872307608,1040011.6915938007
cdteneutron-1000-230-96,cdteneutron,1000,230,6621.268802397799,8044.146667997801
cdte-1200-830-96,cdte,1200,830,159621.18608861975,1016484.6077856596
cdteneutron-2000-880-96,cdteneutron,2000,880,9252.884783004634,46992.110255205465
cdte-1400-530-96,cdte,1400,530,27983.219654843124,1151648.6685317801
si-842-480-96,si,842,480,967142.5981378088,1500044.814875385
si-320-480-96,si,320,480,561659.1797982516,1979467.142924258
si-726-430-96,si,726,430,308010.4954348544,1649706.5019036971
cdte-1900-480-96,cdte,1900,480,31837.347694641558,1167191.3079782214
si-494-30-96,si,494,30,999.5551031882958,162675.55510318832
si-900-1030-96,si,900,1030,1422252.1048645389,1372665.0637266515
